S.No,Fever,Cough,Headache,Fatigue,Cold,Predicted Disease,Suggestion
1,Yes,Yes,No,Yes,No,Flu,"Rest, drink warm fluids, take paracetamol"
2,No,Yes,No,No,Yes,Common Cold,"Stay hydrated, take steam, rest well"
3,No,No,Yes,Yes,No,Migraine,"Avoid stress, take proper sleep"
4,Yes,No,Yes,No,No,Viral Fever,"Consult doctor, take proper medication"
5,No,No,No,No,No,Healthy,"Maintain healthy lifestyle"
6,Yes,Yes,Yes,Yes,No,Flu,"Rest, drink warm fluids, take paracetamol"
7,No,Yes,No,Yes,Yes,Common Cold,"Stay hydrated, take steam, rest well"
8,Yes,No,Yes,Yes,No,Viral Fever,"Consult doctor, take proper medication"
9,No,No,Yes,Yes,Yes,Migraine,"Avoid stress, take proper sleep"
10,Yes,Yes,No,No,No,Flu,"Rest, drink warm fluids, take paracetamol"
11,No,Yes,Yes,No,Yes,Common Cold,"Stay hydrated, take steam, rest well"
12,Yes,No,No,Yes,No,Flu,"Rest, drink warm fluids, take paracetamol"
13,No,No,No,Yes,No,Migraine,"Avoid stress, take proper sleep"
14,Yes,No,Yes,No,Yes,Viral Fever,"Consult doctor, take proper medication"
15,No,Yes,No,No,No,Healthy,"Maintain healthy lifestyle"
16,Yes,Yes,No,Yes,Yes,Flu,"Rest, drink warm fluids, take paracetamol"
17,No,No,Yes,No,No,Healthy,"Maintain healthy lifestyle"
18,Yes,No,No,No,Yes,Viral Fever,"Consult doctor, take proper medication"
19,No,Yes,Yes,Yes,No,Migraine,"Avoid stress, take proper sleep"
20,Yes,Yes,Yes,No,No,Flu,"Rest, drink warm fluids, take paracetamol"
